student_id,technical_skills,soft_skills,project_titles
1,"DSA, Pandas, Java","Leadership, Communication, Teamwork","Inventory System, Attendance Tracker, Placement Portal"
2,"React, C++, AWS","Teamwork, Communication, Time Management","Chatbot, Attendance Tracker, Analytics Dashboard"
3,"SQL, JavaScript, Node.js","Communication, Problem Solving, Teamwork","Automation Bot, Recommendation Engine, Analytics Dashboard"
4,"C++, Pandas, Excel","Communication, Teamwork, Problem Solving","Student CRM, Inventory System, Automation Bot"
5,"Excel, AWS, Node.js","Leadership, Problem Solving, Teamwork","ETL Tool, Inventory System, Placement Portal"
6,"Node.js, React, Docker","Leadership, Communication, Time Management","Chatbot, Data Pipeline, Automation Bot"
7,"JavaScript, Pandas, Java","Time Management, Teamwork, Communication","Automation Bot, ETL Tool, Attendance Tracker"
8,"Pandas, Node.js, AWS","Leadership, Teamwork, Problem Solving","Attendance Tracker, ETL Tool, Placement Portal"
9,"SQL, DSA, Java","Communication, Teamwork, Time Management","Student CRM, Chatbot, Analytics Dashboard"
10,"React, Java, Excel","Leadership, Adaptability, Time Management","Attendance Tracker, Placement Portal, Student CRM"
11,"DSA, C++, SQL","Time Management, Problem Solving, Communication","Placement Portal, Inventory System, Attendance Tracker"
12,"C++, SQL, Docker","Teamwork, Leadership, Communication","Student CRM, Recommendation Engine, Chatbot"
13,"C++, DSA, Node.js","Time Management, Teamwork, Communication","Recommendation Engine, Inventory System, ETL Tool"
14,"Excel, JavaScript, DSA","Adaptability, Problem Solving, Time Management","Analytics Dashboard, Automation Bot, Chatbot"
15,"AWS, JavaScript, Java","Teamwork, Communication, Problem Solving","Student CRM, Recommendation Engine, Chatbot"
16,"JavaScript, AWS, SQL","Adaptability, Communication, Teamwork","Automation Bot, Analytics Dashboard, Student CRM"
17,"Python, Excel, Docker","Communication, Leadership, Time Management","Analytics Dashboard, ETL Tool, Automation Bot"
18,"React, DSA, C++","Problem Solving, Time Management, Communication","Inventory System, Recommendation Engine, Automation Bot"
19,"React, Excel, JavaScript","Communication, Time Management, Teamwork","Attendance Tracker, Chatbot, Recommendation Engine"
20,"Docker, Node.js, SQL","Communication, Teamwork, Time Management","Student CRM, Analytics Dashboard, Attendance Tracker"
21,"JavaScript, Java, Docker","Problem Solving, Communication, Adaptability","Automation Bot, Student CRM, Inventory System"
22,"Pandas, AWS, Excel","Communication, Problem Solving, Teamwork","Attendance Tracker, Recommendation Engine, Data Pipeline"
23,"Docker, Java, DSA","Adaptability, Time Management, Leadership","Chatbot, Data Pipeline, Student CRM"
24,"React, Excel, JavaScript","Adaptability, Leadership, Problem Solving","Recommendation Engine, ETL Tool, Analytics Dashboard"
